id,paper_title,_folder,cimo_id,context,intervention,outcome,model_theme,model_theme_str,theme_confidence,theme_alt,human_theme,human_note
20,"E-Reverse Auctions Revisited: An Analysis of Context, Buyer–Supplier R",10.1111@j.1745-493X.2007.00040.x/hybrid_auto,14,In the context of supplier prequalification in e-RAs,applying gradual total cost approach,maintains total cost considerations,2,Theme 2,medium,Theme 1,,
21,PEEKING INSIDE THE BLACK BOX: TOWARD AN UNDERSTANDING OF SUPPLY CHAIN ,fawcett2012/hybrid_auto,8,When enablers align with resistors,investing in aligned enablers,increases resistor mitigation,4,Theme 4,high,,,
22,Development and validation of a measurement instrument for studying su,li2005/hybrid_auto,12,In the context of high versus low SCM practices implementation,implementing a high level of SCM practices,improves overall supply chain performance metrics,6,Theme 6,high,,,
23,Supplier Development: Current Practices and Outcomes,krause1997/hybrid_auto,6,In the context of an ongoing buyer-supplier relationship.,engaging in direct involvement supplier development activities,reduces product/service cost,4,Theme 4,high,,,
24,Franchisor–franchisee supply chain cooperation: Sharing of demand fore,yan2012/hybrid_auto,5,Under an information sharing arrangement.,Improving a party's own forecast accuracy.,Increases profits for both parties.,6,Theme 6,high,,,
25,"ALLIANCE CAPABILITY, STOCK MARKET RESPONSE, AND LONG-TERM ALLIANCE SUC",kale2002/hybrid_auto,3,As a firm's alliance experience and portfolio size grow.,investing in a dedicated alliance function,increases the likelihood of establishing an alliance function,4,Theme 4,high,,,
26,Supplier integration—Finding an optimal configuration,das2005/hybrid_auto,4,In the context of improving strategic manufacturing performance.,engaging in joint supplier problem solving,increases cost reduction performance.,3,Theme 3,medium,Theme 6,,
27,The Determinants of Commitment in the Distributor–Manufacturer Relatio,goodman2001/hybrid_auto,3,In industrial distribution channels,making relationship-specific investments,increases distributor commitment,3,Theme 3,high,,,
28,"Strategic purchasing, supply management, and firm performance",chen2004/hybrid_auto,10,In the context of long-term supplier alliances.,developing a long-term supplier orientation,promotes open supplier communication,3,Theme 3,medium,Theme 6,,
29,A contingent theory of supplier management initiatives: Effects of com,mahapatra2012/hybrid_auto,6,In the maturity stage of the product life cycle.,investing in supplier development due to competition,was hypothesized to be more strongly driven by competition.,4,Theme 4,high,,,
30,"E-Reverse Auctions Revisited: An Analysis of Context, Buyer–Supplier R",10.1111@j.1745-493X.2007.00040.x/hybrid_auto,10,In the context of supplier participation in e-RAs,suppliers participating in e-RAs,maintains suppliers' relational perceptions,3,Theme 3,high,,,
