Research Theme,Context,Intervention,Outcome
Theme 3: Interorganizational relationships,In both supplier and customer relationships,accumulating relational capital,"increases the (operational and strategic) performance in the relationship (Kohtam?ki et al., 2012; Cousins et al., 2006; Villena et al., 2011);supports the growth of a SME by enhancing the transition between different growth phases (Partanen et al., 2008)."
Theme 3: Interorganizational relationships,In both supplier and customer relationships,shaping customer attraction and increasing supplier satisfaction,"increases preferential treatment by suppliers. (Huttinger et al.,2012; Baxter, 2012) and makes a supplier voluntarily develop the relationship (Hald et al., 2009)."
Theme 3: Interorganizational relationships,In both supplier and customer relationships,using socialization as a tactic in influencing,"increases supply chain relational capital (Cousins et al., 2006);improves communication between the companies (van de Vijver and Akkermans, 2011; Cousins and Menguc, 2006);increases operational performance (Cousins and Menguc,2006)."
Theme 3: Interorganizational relationships,In both supplier and customer relationships,"adopting procedural,distributive and interactional justice policies","increases alliance performance (Liu et al., 2012) measured as asset turnover (Luo, 2007);decreases conflict and increase satisfaction and influence the distributer's performance (Griffith et al., 2006)."
Theme 3: Interorganizational relationships,In both supplier and customer relationships,increasing (perceived) dependency,"increases relationship effectiveness (Smith, 1997);supports the development of relational capital (Petersen et al.,2008);increases the commitment of the parties (Goodman and Dion, 2001) and influences customer attraction (Hald et al., 2009)."
Theme 4: Strategic aspects of exploiting external resources,In strategic alliances (dyadic context),experiences and learning from alliances,"promote alliance success (Kale et al., 2002);increase alliance benefits (Chen et al., 2004; Prahinski and Benton, 2004; Sampson, 2005)"
Theme 4: Strategic aspects of exploiting external resources,In strategic alliances (dyadic context),investment in alliance learning tools,"increases alliance capability (Sluyts et al., 2011)."
Theme 4: Strategic aspects of exploiting external resources,In strategic alliances (dyadic context),supplier development activities,"increase supplier performance (Krause, 1997; Morris and Carter, 2016; Das et al., 2006; Lai, 2007; Modi and Mabert,2007);lower supplier costs (Rogers et al., 2007)."
Theme 4: Strategic aspects of exploiting external resources,In strategic alliances (dyadic context),partner complementarities,"improve alliance performance (Rothaermel, 2001; Tiwana and Keil, 2007)."
Theme 4: Strategic aspects of exploiting external resources,In supply networks (network context),co-operative relationships between suppliers,"negatively influence supplier performance (Saxton, 1997; Wu et al., 2010)."
Theme 4: Strategic aspects of exploiting external resources,In supply networks (network context),integration with suppliers and customers,"increases supply performance (Frohlich and Westbrook, 2001);improves time-based performance and overall firm performance (Stock et al., 2000; Malhotra and Mackelprang,2012)."
Theme 4: Strategic aspects of exploiting external resources,In supply networks (network context),integrated information technologies and information sharing,"increase supply performance (Vickery et al., 2003; Dyer and Hatch, 2006)."
Theme 5: Open innovation and interorganizational learning,In the context of new product development,involving customers in the NPD project,"increase the likelihood of successful major innovations(Coviello and Joseph, 2012).fasten the speed to markets (Fang, 2008);improve product quality, delivery, and reliability (Feng et al.,2010);improves market and project performance (Mishra and Shah,2009);improves customer satisfaction (Tan and Tracey, 2007);Improves manufacturing agility (Tracey, 2004)."
Theme 5: Open innovation and interorganizational learning,In the context of new product development,involving suppliers in the NPD project,"decreases costs (Feng et al., 2010);reduces delays (Hartley et al., 1997);increases product innovation (only grey box) (Koufteros et al.,2007);improves project and market performance (Mishra and Shah,2009);improves financial results and product design performance(Petersen et al., 2005);improves product quality (Primo and Amundson, 2002);improves manufacturing performance (Vonderembse and Tracey, 1999);improves customer satisfaction (Tan and Tracey, 2007);improves manufacturing agility (Tracey, 2004)."
Theme 5: Open innovation and interorganizational learning,In the context of new product development,investing in technologically diverse alliances,"increases firm's innovations (Lundberg and Andresen, 2012);predicts products on markets (Rothaermel and Deeds, 2004)."
Theme 6: Operational practices of managing external resources,In supplier relationships,the use of e-business technologies such as EDI,"increases supplier reliability and lowers acquisition cost(Walton and Marucheck, 1997);improves organizational performance (Feng et al., 2012);decreases relationship conflict (Yan and Wang, 2012);improves organizational performance (Feng et al., 2012)."
Theme 6: Operational practices of managing external resources,In supplier relationships,a right level of internal and external integration,"improves operational performance (Stump and Sriram, 1997;Li et al., 2005; Li et al., 2010);improves lead-time performance (Stock et al., 2000; Garver,2003);increases supplier reliability and lowers acquisition costs(Malhotra and Mackelprang, 2012);positively impacts a firm's supply chain agility (L?sch and Lambert, 2007)."
Theme 6: Operational practices of managing external resources,In supplier relationships,good communication and information sharing,"lower operation costs (face-to-face and written/electronic) and acquisition costs (written/electronic only) (Pearcy et al.,2007);improve lead-time performance (Malhotra and Mackelprang,2012);improve suppliers' compliance to buyer's code of conduct(Cannon and Homburg, 2001);improve supplier's performance (Sanders, 2007)."
