id,gold_title,gold_theme,gold_context,gold_interv,gold_outcome,best_pred_ctx,best_pred_int,best_pred_out,best_score,c_match,i_match,o_match,best_reason,human_score,human_c,human_i,human_o,human_note
11,BRIDGING TIES: A SOURCE OF FIRM HETEROGENEITY IN COMPETITIVE CAPABILITIES,Theme 2: Network formation and relationship initiation,In the context of network formation,maintaining a rich portfolio of bridging ties to network resources,"supports firm's innovations through access to new ideas,information and opportunities (McEvily and Zaheer, 1999).",In the context of a geographical cluster.,maintaining a nonredundant advice network,increases acquisition of certain competitive capabilities,2,False,True,False,"Both interventions describe maintaining network structures that span structural holes (nonredundant = bridging ties), but contexts differ (geographical cluster vs network formation process) and outcomes differ (competitive capabilities vs innovations).",,,,,
12,ARE INTERNAL MANUFACTURING AND EXTERNAL SUPPLY CHAIN FLEXIBILITIES COMPLEMENTARY,Theme 4: Strategic aspects of exploiting external resources,In supply networks (network context),integration with suppliers and customers,"improves time-based performance and overall firm performance (Malhotra and Mackelprang,2012).",In the context of a firm pursuing a product proliferation strategy that entails modifying standard products to meet specific customer demands on an ongoing basis.,"Simultaneously utilizing and coordinating inbound supplier flexibility, the scope of internal modification flexibility, and outbound logistics flexibility as an integrated system.",has a positive effect on the focal firm's delivery performance.,3,True,True,True,"The intervention in CIMO_A (coordinating supplier, internal, and logistics flexibility as an integrated system) is a specific operationalization of 'integration with suppliers and customers' in CIMO_B, with delivery performance being a subset of time-based performance.",,,,,
13,DO BRIDGING TIES COMPLEMENT STRONG TIES? AN EMPIRICAL EXAMINATION OF ALLIANCE AM,Theme 2: Network formation and relationship initiation,In the context of network formation,building a great number of versatile weak ties,"supports exploration activities to develop innovations and improve firm performance (Tiwana, 2008).",In innovation-seeking project alliances where the successful accomplishment of novel projects requires the heterogeneity of capabilities and expertise provided by bridging ties among alliance partners,"having a portfolio of bridging ties that connect individuals with diverse and heterogeneous backgrounds, experiences, knowledge, and skills, spanning structural holes","was hypothesized to influence alliance ambidexterity primarily through knowledge integration, but the empirical test did not support full mediation",2,False,True,False,"The interventions match as 'bridging ties spanning structural holes' is conceptually equivalent to 'weak ties' in network theory (both refer to network positions that bridge disconnected groups), but the contexts differ significantly (specific innovation-seeking alliance context vs. abstract network formation) and the outcomes are different (CIMO_A reports a complex finding about alliance ambidexterity with unsupported mediation, while CIMO_B claims positive effects on exploration and firm performance).",,,,,
14,ARE INTERNAL MANUFACTURING AND EXTERNAL SUPPLY CHAIN FLEXIBILITIES COMPLEMENTARY,Theme 6: Operational practices of managing external resources,In supplier relationships,a right level of internal and external integration,"increases supplier reliability and lowers acquisition costs(Malhotra and Mackelprang, 2012).","In the context of a firm pursuing a product proliferation strategy that entails modifying products, where the ability to achieve these modifications without performance penalties is important.","Simultaneously utilizing and coordinating inbound supplier flexibility, the achievability of internal modification flexibility, and outbound logistics flexibility as an integrated system.",has a positive effect on the focal firm's delivery performance.,3,True,True,False,"The intervention in B (coordinating inbound supplier flexibility, internal modification flexibility, and outbound logistics flexibility as an integrated system) is a specific instantiation of A's abstract 'internal and external integration' - both involve coordinating internal and external elements as a system. Context matches as B's supplier-related context falls within A's 'supplier relationships.' However, outcomes differ: supplier reliability and acquisition costs are distinct from delivery performance.",,,,,
15,DEVELOPMENT AND VALIDATION OF A MEASUREMENT INSTRUMENT FOR STUDYING SUPPLY CHAIN,Theme 6: Operational practices of managing external resources,In supplier relationships,a right level of internal and external integration,"improves operational performance (Li et al., 2005).",In the context of organizations classified into groups based on their level of SCM practices implementation,"implementing a high level of the identified SCM practices (strategic supplier partnership, customer relationship, information sharing, information quality, internal lean practices)","results in better supply chain performance as measured by the SCOR model, including improved delivery performance, faster supply chain response time, shorter cash-to-cash cycle, lower inventory days, and higher net asset turns",3,True,True,True,"The intervention in CIMO_A (implementing SCM practices including strategic supplier partnership, customer relationship, information sharing, internal lean practices) represents concrete mechanisms for achieving 'internal and external integration' in CIMO_B, with supply chain performance being a specific form of operational performance.",,,,,
16,A HOLISTIC APPROACH TO NEW PRODUCT DEVELOPMENT: NEW INSIGHTS,Theme 5: Open innovation and interorganizational learning,In the context of new product development,involving suppliers in the NPD project,"improves manufacturing agility (Tracey, 2004).",In the context of NPD for competitive advantage.,Involving suppliers early in NPD.,increases manufacturing agility.,3,True,True,True,"The intervention is identical (involving suppliers in NPD), with CIMO_B adding 'early' as a specific timing detail; both context and outcome match perfectly at the same abstraction level.",,,,,
17,DOES PERIPHERAL KNOWLEDGE COMPLEMENT CONTROL? AN EMPIRICAL TEST IN TECHNOLOGY OU,Theme 4: Strategic aspects of exploiting external resources,In strategic alliances (dyadic context),partner complementarities,"improve alliance performance (Tiwana and Keil, 2007).",In technology outsourcing alliances.,maintaining peripheral knowledge and deploying outcome control.,enhances alliance performance.,1,True,False,True,The interventions are fundamentally different: CIMO_A describes management actions (maintaining peripheral knowledge and deploying outcome control) while CIMO_B describes a partner characteristic (partner complementarities) - these are not the same type of intervention despite both contexts involving alliances and both outcomes addressing alliance performance.,,,,,
18,ARE INTERNAL MANUFACTURING AND EXTERNAL SUPPLY CHAIN FLEXIBILITIES COMPLEMENTARY,Theme 6: Operational practices of managing external resources,In supplier relationships,good communication and information sharing,"improve lead-time performance (Malhotra and Mackelprang,2012).",In the context of achieving product modifications.,Integrating external and internal modification achievability flexibilities.,improves delivery performance.,1,False,False,True,"The interventions are fundamentally different - CIMO_A focuses on communication and information sharing practices, while CIMO_B focuses on integrating flexibility capabilities; these are distinct management actions, not the same intervention type.",,,,,
19,A SUPPLIER DEVELOPMENT PROGRAM: RATIONAL PROCESS OR INSTITUTIONAL IMAGE CONSTRUC,Theme 4: Strategic aspects of exploiting external resources,In strategic alliances (dyadic context),supplier development activities,"lower supplier costs (Rogers et al., 2007).",In a buyer-supplier relationship where a powerful automotive manufacturer mandates supplier participation in a development program as a condition of the supply contract or for price adjustments.,Implementing a supplier development program consisting of evaluation procedures and process improvement workshops to assess and improve supplier manufacturing effectiveness.,"leads to all first-tier suppliers adopting the program, creating an appearance of homogeneous adaptation to institutional demands.",3,True,True,False,"The intervention clearly matches as 'supplier development program' is a specific instance of 'supplier development activities', and the context matches as buyer-supplier relationship is a dyadic context within strategic alliances, though the outcomes differ (adoption/institutional conformity vs. lower costs).",,,,,
20,ADAPTING WITHIN RELATIONSHIPS TO ADAPT TO MARKET-LED CHANGE: DOES RELATIONSHIP S,Theme 2: Network formation and relationship initiation,In the context of network formation,building strong relational ties with trustworthy partners,"supports exploitation activities to improve firm effectivenessand performance (Beverland, 2005).","During a period of market consolidation with increased competition, slowing growth, and rising buyer power (e.g., New Zealand wine industry from 1996-1998).","forming closer, more committed relationships with direct customers and adapting to their demands for differentiation and marketing support.","secures shelf space, establishes the brand, and provides a significant barrier to entry for new competitors.",2,False,True,False,"The intervention matches well - both describe building stronger, more committed relationships as the core management action, with the specific 'forming closer relationships with customers' being a subset of the abstract 'building strong relational ties with partners.' However, the contexts differ (network formation process vs. market consolidation conditions) and the outcomes differ (exploitation activities for firm performance vs. specific market positioning outcomes like shelf space and brand establishment).",,,,,
21,ADAPTING WITHIN RELATIONSHIPS TO ADAPT TO MARKET-LED CHANGE: DOES RELATIONSHIP S,Theme 2: Network formation and relationship initiation,In the context of network formation,building a great number of versatile weak ties,"supports exploration activities to develop innovations and improve firm performance (Beverland, 2005).","In the context of a dynamic and uncertain market environment where firms are building a viable market for a product category (e.g., New Zealand wine industry from 1985-1990).","forming a broad scope of relationships with various network partners, including competitors, and engaging in cooperative promotion and information sharing.",helps create a viable market niche and enables firms to adapt to emerging consumer trends and derived demand.,3,True,True,False,"The intervention matches well: 'forming a broad scope of relationships with various network partners' is a specific instantiation of 'building a great number of versatile weak ties' - both describe creating numerous, diverse network connections. Context also matches as the specific market-building environment falls within the abstract 'network formation' context.",,,,,
22,DOES ADAPTATION PAY OFF ?,Theme 3: Interorganizational relationships,In both supplier and customer relationships,adaptive behavior within a relationship,"improves quality of produced products (Hagberg-Andersson,2006).",In buyer-supplier relationships with a powerful focal buyer.,engaging in collective adaptation through a shared facility,reduces dependence on the focal buyer,3,True,True,False,"Collective adaptation through a shared facility is a specific form of adaptive behavior within relationships, and buyer-supplier relationships with a powerful focal buyer represent a specific context within the broader supplier/customer relationship category, though the outcomes (dependence reduction vs. quality improvement) are fundamentally different.",,,,,
23,COLLABORATIVE NEW PRODUCT DEVELOPMENT ENVIRONMENTS: IMPLICATIONS FOR SUPPLY CHAI,Theme 5: Open innovation and interorganizational learning,In the context of new product development,involving customers in the NPD project,"improves customer satisfaction (Tan and Tracey, 2007).",In firms where supply chain managers seek to promote integrated NPD despite traditional transactional approaches,"championing the inclusion of manufacturing, suppliers, and customers in the NPD process",helps alleviate the lack of early participation by key parties and advances the progression toward open organizational settings,3,True,True,False,"The intervention 'involving customers in the NPD project' is a specific subset of the broader intervention 'championing the inclusion of manufacturing, suppliers, and customers in the NPD process', satisfying the I match criterion.",,,,,
24,DOES PERIPHERAL KNOWLEDGE COMPLEMENT CONTROL? AN EMPIRICAL TEST IN TECHNOLOGY OU,Theme 1: Decisions on governance mode and mechanism,In the context of make-or-buy decisions,maintaining some knowledge of the outsourced activity/technology,"increases outsourcing benefits (Tiwana and Keil, 2007).",In technology outsourcing alliances.,maintaining peripheral knowledge and deploying outcome control.,enhances alliance performance.,3,True,True,True,"The core intervention 'maintaining peripheral knowledge' in CIMO_A is a specific expression of 'maintaining some knowledge of the outsourced activity/technology' in CIMO_B, representing the same management action type.",,,,,
25,A TALE OF TWO PARTNERSHIPS: SOCIALIZATION IN THE DEVELOPMENT OF BUYER-SUPPLIER R,Theme 3: Interorganizational relationships,In both supplier and customer relationships,using socialization as a tactic in influencing,"improves communication between the companies (van de Vijver and Akkermans, 2011).","In a mature, collaborative buyer-supplier relationship.",employing formal and informal socialization tactics.,improves communication quality.,3,True,True,True,"The intervention clearly matches with both using socialization tactics, and both context (buyer-supplier relationships) and outcome (improved communication) align at the same abstraction level.",,,,,
26,CUSTOMER ORIENTATION FOR DECREASING TIME-TO-MARKET OF NEW PRODUCTS: IT IMPLEMENT,Theme 6: Operational practices of managing external resources,In supplier relationships,the use of e-business technologies such as EDI,"improves organizational performance (Feng et al., 2012).",In NPD contexts,implementing IT,does not directly reduce time-to-market,2,False,True,False,"I matches as 'implementing IT' subsumes 'e-business technologies such as EDI', but C differs (NPD contexts vs supplier relationships) and O is contradictory (no direct effect on time-to-market vs improves organizational performance).",,,,,
27,AN EMPIRICAL STUDY OF THE IMPACT OF E-BUSINESS TECHNOLOGIES ON ORGANIZATIONAL CO,Theme 6: Operational practices of managing external resources,In supplier relationships,good communication and information sharing,"improve supplier's performance (Sanders, 2007).","In the context where firms engage in external collaboration, such as real-time information sharing and collaborative planning with suppliers.","Engaging in inter-organizational collaboration with suppliers, including sharing operations information, cross-functional processes, and cost data.","directly and positively impacts intra-organizational collaboration, forcing higher levels of internal cooperation and integration across functions.",3,True,True,False,Both interventions center on information sharing with suppliers as the core action - CIMO_A's 'good communication and information sharing' matches CIMO_B's 'inter-organizational collaboration...including sharing operations information' at the same action type level.,,,,,
28,CREATING SUPPLY CHAIN RELATIONAL CAPITAL: THE IMPACT OF FORMAL AND INFORMAL SOCI,Theme 3: Interorganizational relationships,In both supplier and customer relationships,accumulating relational capital,"increases the (operational and strategic) performance in the relationship ( Cousins et al., 2006).",In relationships with established relational capital.,Generating relational capital.,Improves supplier relationship outcomes.,3,False,True,True,"The intervention 'accumulating relational capital' and 'generating relational capital' describe the same core management action of building relational capital, and the outcomes both indicate improved relationship performance.",,,,,
29,A HOLISTIC APPROACH TO NEW PRODUCT DEVELOPMENT: NEW INSIGHTS,Theme 5: Open innovation and interorganizational learning,In the context of new product development,involving customers in the NPD project,"improves manufacturing agility (Tracey, 2004).",In the context of NPD for competitive advantage.,Involving customers early in NPD.,increases manufacturing agility.,3,True,True,True,"The intervention is essentially identical (involving customers in NPD), with CIMO_B adding only 'early' as a minor specificity; both context and outcome match directly at the same abstraction level.",,,,,
30,COLLABORATIVE NEW PRODUCT DEVELOPMENT ENVIRONMENTS: IMPLICATIONS FOR SUPPLY CHAI,Theme 5: Open innovation and interorganizational learning,In the context of new product development,involving suppliers in the NPD project,"improves customer satisfaction (Tan and Tracey, 2007).",In the context of promoting supply chain integration,championing partner inclusion in NPD,advances open collaboration,2,False,True,False,"The interventions match well - 'championing partner inclusion in NPD' and 'involving suppliers in the NPD project' describe the same core action of bringing external parties into NPD, but contexts differ (supply chain integration vs NPD focus) and outcomes are distinct (open collaboration vs customer satisfaction).",,,,,
