Source_File,Title,Authors,Research_Theme,Context,Intervention,Outcome
nyaga2009.md,Examining supply chain relationships: Do buyer and supplier perspectives on collaborative relationships differ?,"Gilbert N. Nyaga, Judith M. Whipple, Daniel F. Lynch",Theme 3: Interorganizational relationships,In interfirm collaborations involving joint activities,involving in joint relationship effort,"increases trust, with stronger effects for suppliers than buyers"
nyaga2009.md,Examining supply chain relationships: Do buyer and supplier perspectives on collaborative relationships differ?,"Gilbert N. Nyaga, Judith M. Whipple, Daniel F. Lynch",Theme 3: Interorganizational relationships,In long-term buyer-supplier exchanges,building trust,"leads to higher satisfaction, performance, and commitment, especially for buyers"
nyaga2009.md,Examining supply chain relationships: Do buyer and supplier perspectives on collaborative relationships differ?,"Gilbert N. Nyaga, Judith M. Whipple, Daniel F. Lynch",Theme 3: Interorganizational relationships,When comparing buyer and supplier perspectives,aligning expectations on relational outcomes,supports more balanced satisfaction and sustained collaboration
koufteros2006.md,"‘‘Black-box’’ and ‘‘gray-box’’ supplier integration in product development: Antecedents, consequences and the moderating role of firm size","Xenophon A. Koufteros, T.C. Edwin Cheng, Kee-Hung Lai",Theme 3: Interorganizational relationships,In buyer-supplier relationships,building embeddedness with suppliers,leads to supply base rationalization and supplier selection based on product development capabilities
koufteros2006.md,"‘‘Black-box’’ and ‘‘gray-box’’ supplier integration in product development: Antecedents, consequences and the moderating role of firm size","Xenophon A. Koufteros, T.C. Edwin Cheng, Kee-Hung Lai",Theme 6: Operational practices of managing external resources,In the context of supply base rationalization,involving suppliers in the NPD project,leads to enhanced gray-box integration
koufteros2006.md,"‘‘Black-box’’ and ‘‘gray-box’’ supplier integration in product development: Antecedents, consequences and the moderating role of firm size","Xenophon A. Koufteros, T.C. Edwin Cheng, Kee-Hung Lai",Theme 4: Strategic aspects of exploiting external resources,When selecting suppliers for product development,choosing suppliers based on product development capabilities,leads to higher levels of both black-box and gray-box integration
koufteros2006.md,"‘‘Black-box’’ and ‘‘gray-box’’ supplier integration in product development: Antecedents, consequences and the moderating role of firm size","Xenophon A. Koufteros, T.C. Edwin Cheng, Kee-Hung Lai",Theme 5: Open innovation and interorganizational learning,In product development collaborations,implementing gray-box integration,leads to enhanced product innovation
koufteros2006.md,"‘‘Black-box’’ and ‘‘gray-box’’ supplier integration in product development: Antecedents, consequences and the moderating role of firm size","Xenophon A. Koufteros, T.C. Edwin Cheng, Kee-Hung Lai",Theme 5: Open innovation and interorganizational learning,In the context of product innovation,increasing product innovation,leads to improved external quality
krause1997.md,Supplier Development: Current Practices and Outcomes,Daniel R. Krause,Theme 6: Operational practices of managing external resources,In buyer-supplier relationships,using enforced competition among suppliers,leads to improved supplier performance
krause1997.md,Supplier Development: Current Practices and Outcomes,Daniel R. Krause,Theme 6: Operational practices of managing external resources,In buyer-supplier relationships,promising current or future business benefits,increases supplier motivation to improve performance or capabilities
krause1997.md,Supplier Development: Current Practices and Outcomes,Daniel R. Krause,Theme 3: Interorganizational relationships,In the context of direct involvement in supplier development,engaging in hands-on cooperative activities,"leads to enhanced performance, reduced defects, shorter cycle times, and stronger relationship continuity"
krause1997.md,Supplier Development: Current Practices and Outcomes,Daniel R. Krause,Theme 6: Operational practices of managing external resources,When integrating multiple supplier development approaches,"combining enforced competition, incentives, and direct involvement",leads to significant improvements in supplier performance and capabilities
malhotra2012.md,Are internal manufacturing and external supply chain flexibilities complementary capabilities?,"Manoj K. Malhotra, Alan W. Mackelprang",Theme 6: Operational practices of managing external resources,In the context of modification flexibility,complementing internal modification scope with inbound supplier and outbound logistics flexibilities,leads to improved delivery performance
malhotra2012.md,Are internal manufacturing and external supply chain flexibilities complementary capabilities?,"Manoj K. Malhotra, Alan W. Mackelprang",Theme 6: Operational practices of managing external resources,In the context of modification flexibility,complementing internal modification achievability with inbound supplier and outbound logistics flexibilities,leads to improved delivery performance
malhotra2012.md,Are internal manufacturing and external supply chain flexibilities complementary capabilities?,"Manoj K. Malhotra, Alan W. Mackelprang",Theme 6: Operational practices of managing external resources,In the context of mix flexibility,complementing internal mix achievability with inbound supplier and outbound logistics flexibilities,leads to improved delivery performance
hausman2010.md,"The impact of coercive and non-coercive forms of influence on trust, commitment, and compliance in supply chains","Angela Hausman, Wesley J. Johnston",Theme 3: Interorganizational relationships,In buyer-supplier relationships,using non-coercive influence,leads to enhanced cooperation and compliance
hausman2010.md,"The impact of coercive and non-coercive forms of influence on trust, commitment, and compliance in supply chains","Angela Hausman, Wesley J. Johnston",Theme 3: Interorganizational relationships,In the context of high coercive influence,using coercive influence,decreases cooperation and harms relationship sustainability
hausman2010.md,"The impact of coercive and non-coercive forms of influence on trust, commitment, and compliance in supply chains","Angela Hausman, Wesley J. Johnston",Theme 3: Interorganizational relationships,When low levels of coercive influence are applied,maintaining mild coercive pressure,supports positive relational outcomes without triggering resistance
hausman2010.md,"The impact of coercive and non-coercive forms of influence on trust, commitment, and compliance in supply chains","Angela Hausman, Wesley J. Johnston",Theme 3: Interorganizational relationships,In interdependent supply chain relationships,emphasizing trust development,leads to improved compliance and stronger collaboration
prahinski2004.md,Supplier evaluations: communication strategies to improve supplier performance,"Carol Prahinski, W.C. Benton",Theme 3: Interorganizational relationships,In buyer-supplier relationships,using collaborative communication,leads to enhanced supplier commitment
prahinski2004.md,Supplier evaluations: communication strategies to improve supplier performance,"Carol Prahinski, W.C. Benton",Theme 6: Operational practices of managing external resources,When supplier commitment is high,implementing supplier evaluation communication strategies,improves supplier performance
prahinski2004.md,Supplier evaluations: communication strategies to improve supplier performance,"Carol Prahinski, W.C. Benton",Theme 3: Interorganizational relationships,"In the context of indirect influence, formality, and feedback",emphasizing cooperation and commitment in communication,strengthens the buyer–supplier relationship
stock2000.md,Enterprise logistics and supply chain structure: the role of fit,"Gregory N. Stock, Noel P. Greis, John D. Kasarda",Theme 6: Operational practices of managing external resources,In geographically dispersed supply chains,achieving fit between enterprise logistics and geographic dispersion,leads to enhanced operational performance
stock2000.md,Enterprise logistics and supply chain structure: the role of fit,"Gregory N. Stock, Noel P. Greis, John D. Kasarda",Theme 1: Decisions on governance mode and mechanism,In the context of network-based supply chain structures,avoiding the simultaneous adoption of enterprise logistics and network governance,leads to higher service and financial performance
modi2006.md,Supplier development: Improving supplier performance through knowledge transfer,"Sachin B. Modi, Vincent A. Mabert",Theme 6: Operational practices of managing external resources,In buyer-supplier relationships,conducting evaluation and certification,leads to enhanced operational knowledge transfer activities
modi2006.md,Supplier development: Improving supplier performance through knowledge transfer,"Sachin B. Modi, Vincent A. Mabert",Theme 6: Operational practices of managing external resources,In buyer-supplier relationships,providing future business incentives,leads to enhanced operational knowledge transfer activities
modi2006.md,Supplier development: Improving supplier performance through knowledge transfer,"Sachin B. Modi, Vincent A. Mabert",Theme 6: Operational practices of managing external resources,In buyer-supplier relationships,implementing operational knowledge transfer activities,leads to improved supplier performance
modi2006.md,Supplier development: Improving supplier performance through knowledge transfer,"Sachin B. Modi, Vincent A. Mabert",Theme 3: Interorganizational relationships,In buyer-supplier relationships,implementing operational knowledge transfer activities,leads to enhanced collaborative communication
modi2006.md,Supplier development: Improving supplier performance through knowledge transfer,"Sachin B. Modi, Vincent A. Mabert",Theme 3: Interorganizational relationships,In buyer-supplier relationships,maintaining collaborative communication,leads to improved supplier performance
griffith2005.md,Social exchange in supply chain relationships: The resulting benefits of procedural and distributive justice,"David A. Griffith, Michael G. Harvey, Robert F. Lusch",Theme 3: Interorganizational relationships,In buyer-supplier relationships,emphasizing procedural justice,leads to enhanced relational behaviors and reduced conflict
griffith2005.md,Social exchange in supply chain relationships: The resulting benefits of procedural and distributive justice,"David A. Griffith, Michael G. Harvey, Robert F. Lusch",Theme 3: Interorganizational relationships,In buyer-supplier relationships,ensuring distributive justice,increases long-term orientation and relational behaviors
griffith2005.md,Social exchange in supply chain relationships: The resulting benefits of procedural and distributive justice,"David A. Griffith, Michael G. Harvey, Robert F. Lusch",Theme 3: Interorganizational relationships,In the context of high relational interdependence,maintaining long-term orientation,decreases conflict and increases satisfaction
griffith2005.md,Social exchange in supply chain relationships: The resulting benefits of procedural and distributive justice,"David A. Griffith, Michael G. Harvey, Robert F. Lusch",Theme 6: Operational practices of managing external resources,In ongoing supply chain relationships,engaging in relational behaviors,reduces conflict and supports improved performance
griffith2005.md,Social exchange in supply chain relationships: The resulting benefits of procedural and distributive justice,"David A. Griffith, Michael G. Harvey, Robert F. Lusch",Theme 6: Operational practices of managing external resources,When conflict is present in supply chain relationships,reducing conflict,leads to improved distributor performance
krishnan2006.md,WHEN DOES TRUST MATTER TO ALLIANCE PERFORMANCE?,"Rekha Krishnan, Xavier Martin, Niels G. Noorderhaven",Theme 3: Interorganizational relationships,In the context of high behavioral uncertainty,maintaining interorganizational trust,leads to enhanced alliance performance
krishnan2006.md,WHEN DOES TRUST MATTER TO ALLIANCE PERFORMANCE?,"Rekha Krishnan, Xavier Martin, Niels G. Noorderhaven",Theme 3: Interorganizational relationships,In the context of high environmental uncertainty,maintaining interorganizational trust,weakens alliance performance
laaksonen2008.md,Co-evolution of trust and dependence in customer–supplier relationships,"Toni Laaksonen, Kalle Pajunen, Harri I. Kulmala",Theme 3: Interorganizational relationships,In customer–supplier relationships with increasing interdependence,balancing interfirm trust and dependence through relationship-specific investments and commitments,leads to sustained co-evolution of trust and dependence
laaksonen2008.md,Co-evolution of trust and dependence in customer–supplier relationships,"Toni Laaksonen, Kalle Pajunen, Harri I. Kulmala",Theme 3: Interorganizational relationships,In the context of decreasing customer purchases,failing to maintain supplier trust through long-term commitment,leads to imbalance between trust and dependence
laaksonen2008.md,Co-evolution of trust and dependence in customer–supplier relationships,"Toni Laaksonen, Kalle Pajunen, Harri I. Kulmala",Theme 2: Network formation and relationship initiation,During partner selection in customer–supplier relationships,choosing partners based on mutual trust and complementary resources,supports the co-evolution of trust and interdependence
laaksonen2008.md,Co-evolution of trust and dependence in customer–supplier relationships,"Toni Laaksonen, Kalle Pajunen, Harri I. Kulmala",Theme 3: Interorganizational relationships,In evolving customer–supplier relationships,building goodwill and competence trust over time,ensures proper co-evolution of trust and dependence
laaksonen2008.md,Co-evolution of trust and dependence in customer–supplier relationships,"Toni Laaksonen, Kalle Pajunen, Harri I. Kulmala",Theme 6: Operational practices of managing external resources,In the context of transaction-specific investments and mutual commitment,making transaction-specific human and organizational investments,enhances interdependence and trust simultaneously
poppo2002.md,DO FORMAL CONTRACTS AND RELATIONAL GOVERNANCE FUNCTION AS SUBSTITUTES OR COMPLEMENTS?,"Laura Poppo, Todd Zenger",Theme 1: Decisions on governance mode and mechanism,In interorganizational exchanges with high asset specificity,choosing more complex formal contracts,leads to enhanced contractual complexity
poppo2002.md,DO FORMAL CONTRACTS AND RELATIONAL GOVERNANCE FUNCTION AS SUBSTITUTES OR COMPLEMENTS?,"Laura Poppo, Todd Zenger",Theme 3: Interorganizational relationships,In the context of increasing contractual complexity,building relational governance,increases relational governance
poppo2002.md,DO FORMAL CONTRACTS AND RELATIONAL GOVERNANCE FUNCTION AS SUBSTITUTES OR COMPLEMENTS?,"Laura Poppo, Todd Zenger",Theme 3: Interorganizational relationships,In the context of growing relational governance,increasing contractual complexity,enhances contractual complexity
poppo2002.md,DO FORMAL CONTRACTS AND RELATIONAL GOVERNANCE FUNCTION AS SUBSTITUTES OR COMPLEMENTS?,"Laura Poppo, Todd Zenger",Theme 6: Operational practices of managing external resources,In buyer-supplier relationships in information services,combining relational governance and contractual complexity,leads to higher exchange performance
payan2005.md,Decomposing Influence Strategies: Argument Structure and Dependence as Determinants of the Effectiveness of Influence Strategies in Gaining Channel Member Compliance,"Janice M. Payan, Richard G. McFarland",Theme 3: Interorganizational relationships,In buyer-supplier relationships,using noncoercive influence strategies with complete argument structure,leads to higher compliance
payan2005.md,Decomposing Influence Strategies: Argument Structure and Dependence as Determinants of the Effectiveness of Influence Strategies in Gaining Channel Member Compliance,"Janice M. Payan, Richard G. McFarland",Theme 1: Decisions on governance mode and mechanism,When target dependence is high,using coercive influence strategies such as Threats,leads to increased compliance
payan2005.md,Decomposing Influence Strategies: Argument Structure and Dependence as Determinants of the Effectiveness of Influence Strategies in Gaining Channel Member Compliance,"Janice M. Payan, Richard G. McFarland",Theme 3: Interorganizational relationships,Under conditions of low trust,using Recommendation-based influence strategies,results in reduced compliance
dyer2006.md,RELATION-SPECIFIC CAPABILITIES AND BARRIERS TO KNOWLEDGE TRANSFERS: CREATING ADVANTAGE THROUGH NETWORK RELATIONSHIPS,"Jeffrey H. Dyer, Nile W. Hatch",Theme 5: Open innovation and interorganizational learning,In buyer-supplier relationships within the automotive industry,increasing customer-to-supplier knowledge transfers,leads to enhanced quality and productivity performance for that customer
dyer2006.md,RELATION-SPECIFIC CAPABILITIES AND BARRIERS TO KNOWLEDGE TRANSFERS: CREATING ADVANTAGE THROUGH NETWORK RELATIONSHIPS,"Jeffrey H. Dyer, Nile W. Hatch",Theme 3: Interorganizational relationships,When suppliers serve multiple customers with different network demands,maintaining distinct interorganizational routines and policies across buyer networks,preserves differential performance advantages within the same supplier
dyer2006.md,RELATION-SPECIFIC CAPABILITIES AND BARRIERS TO KNOWLEDGE TRANSFERS: CREATING ADVANTAGE THROUGH NETWORK RELATIONSHIPS,"Jeffrey H. Dyer, Nile W. Hatch",Theme 6: Operational practices of managing external resources,In the presence of high process rigidities and asset specificity,designing inflexible manufacturing cells with high capital investment,reduces the likelihood of transferring knowledge from more advanced networks
handley2011.md,The perilous effects of capability loss on outsourcing management and performance,Sean M. Handley,Theme 6: Operational practices of managing external resources,In the context of outsourcing initiatives,conducting a thorough capability evaluation,decreases capability loss
handley2011.md,The perilous effects of capability loss on outsourcing management and performance,Sean M. Handley,Theme 3: Interorganizational relationships,In buyer-supplier outsourcing relationships,experiencing extensive capability loss,hinders development of a committed and cooperative relationship
handley2011.md,The perilous effects of capability loss on outsourcing management and performance,Sean M. Handley,Theme 3: Interorganizational relationships,In outsourcing relationships,building a committed and cooperative relationship,leads to enhanced outsourcing performance
handley2011.md,The perilous effects of capability loss on outsourcing management and performance,Sean M. Handley,Theme 6: Operational practices of managing external resources,In the context of high capability loss from outsourcing,disposing of internal operational capabilities,directly decreases outsourcing performance
cousins2005.md,The implications of socialization and integration in supply chain management,"Paul D. Cousins, Bulent Menguc",Theme 6: Operational practices of managing external resources,In buyer-supplier relationships,increasing the extent of socialization mechanisms,leads to enhanced supplier operational and communication performance
cousins2005.md,The implications of socialization and integration in supply chain management,"Paul D. Cousins, Bulent Menguc",Theme 6: Operational practices of managing external resources,In the context of supply chain integration,implementing integration practices,improves supplier communication performance
cousins2005.md,The implications of socialization and integration in supply chain management,"Paul D. Cousins, Bulent Menguc",Theme 3: Interorganizational relationships,In close buyer-supplier relationships,"using joint workshops, site visits, and team building exercises",leads to higher levels of perceived contractual conformance
morris2005.md,Relationship Marketing and Supplier Logistics Performance: An Extension of the Key Mediating Variables Model,"Matthew Morris, Craig R. Carter",Theme 3: Interorganizational relationships,In buyer-supplier relationships,increasing cooperation,leads to improved supplier logistics performance
morris2005.md,Relationship Marketing and Supplier Logistics Performance: An Extension of the Key Mediating Variables Model,"Matthew Morris, Craig R. Carter",Theme 6: Operational practices of managing external resources,In the context of decision-making uncertainty,reducing uncertainty,decreases delays and improves on-time delivery and fill rates
10.1016@j.indmarman.2012.08.001.md,Enabling relationship structures and relationship performance improvement: The moderating role of relational capital,"Marko Kohtamäki, Jukka Vesalainen, Stephan Henneberg, Peter Naudé, Marc J. Ventresca",Theme 3: Interorganizational relationships,In asymmetric subcontractor–customer relationships,building relational capital,leads to improved relationship performance
10.1016@j.indmarman.2012.08.001.md,Enabling relationship structures and relationship performance improvement: The moderating role of relational capital,"Marko Kohtamäki, Jukka Vesalainen, Stephan Henneberg, Peter Naudé, Marc J. Ventresca",Theme 6: Operational practices of managing external resources,In the context of high dependency and long-term exchange,making relationship-specific investments,improves operational performance in the relationship
10.1016@j.indmarman.2012.08.001.md,Enabling relationship structures and relationship performance improvement: The moderating role of relational capital,"Marko Kohtamäki, Jukka Vesalainen, Stephan Henneberg, Peter Naudé, Marc J. Ventresca",Theme 1: Decisions on governance mode and mechanism,When relational capital is present,implementing relationship structures,positively impacts relationship performance improvement
petersen2008.md,BUYER DEPENDENCY AND RELATIONAL CAPITAL FORMATION: THE MEDIATING EFFECTS OF SOCIALIZATION PROCESSES AND SUPPLIER INTEGRATION,"Kenneth J. Petersen, Robert B. Handfield, Benn Lawson, Paul D. Cousins",Theme 3: Interorganizational relationships,In buyer-supplier relationships with high buyer dependency,using socialization processes,leads to enhanced relational capital
petersen2008.md,BUYER DEPENDENCY AND RELATIONAL CAPITAL FORMATION: THE MEDIATING EFFECTS OF SOCIALIZATION PROCESSES AND SUPPLIER INTEGRATION,"Kenneth J. Petersen, Robert B. Handfield, Benn Lawson, Paul D. Cousins",Theme 6: Operational practices of managing external resources,When socialization processes are implemented in buyer-supplier relationships,increasing supplier integration,leads to enhanced relational capital
petersen2008.md,BUYER DEPENDENCY AND RELATIONAL CAPITAL FORMATION: THE MEDIATING EFFECTS OF SOCIALIZATION PROCESSES AND SUPPLIER INTEGRATION,"Kenneth J. Petersen, Robert B. Handfield, Benn Lawson, Paul D. Cousins",Theme 3: Interorganizational relationships,In the context of high buyer dependency on a critical supplier,emphasizing socialization over coercive power use,supports long-term relational resilience and mutual support
fang2008.md,Customer Participation and the Trade-Off Between New Product Innovativeness and Speed to Market,Fang,Theme 6: Operational practices of managing external resources,In buyer-supplier new product development projects with high downstream customer network connectivity,using customers as information sources,hurts new product innovativeness
fang2008.md,Customer Participation and the Trade-Off Between New Product Innovativeness and Speed to Market,Fang,Theme 6: Operational practices of managing external resources,In buyer-supplier new product development projects with high downstream customer network connectivity,using customers as information sources,improves new product speed to market
fang2008.md,Customer Participation and the Trade-Off Between New Product Innovativeness and Speed to Market,Fang,Theme 6: Operational practices of managing external resources,In new product development projects with high process interdependence,involving customers as codevelopers,delays new product speed to market
fang2008.md,Customer Participation and the Trade-Off Between New Product Innovativeness and Speed to Market,Fang,Theme 6: Operational practices of managing external resources,In new product development projects with low process interdependence,involving customers as codevelopers,improves new product speed to market but reduces innovativeness
10.1016@j.indmarman.2012.10.004.md,"The drivers of customer attractiveness, supplier satisfaction and preferred customer status: A literature review","Lisa Hüttinger, Holger Schiele, Jasper Veldman",Theme 3: Interorganizational relationships,In buyer-supplier relationships,"emphasizing relational quality through trust, commitment, and fairness",leads to preferential treatment by suppliers
10.1016@j.indmarman.2012.10.004.md,"The drivers of customer attractiveness, supplier satisfaction and preferred customer status: A literature review","Lisa Hüttinger, Holger Schiele, Jasper Veldman",Theme 6: Operational practices of managing external resources,In the context of ongoing buyer-supplier interactions,"improving operational excellence in order processing, delivery, and communication",increases supplier satisfaction
10.1016@j.indmarman.2012.10.004.md,"The drivers of customer attractiveness, supplier satisfaction and preferred customer status: A literature review","Lisa Hüttinger, Holger Schiele, Jasper Veldman",Theme 4: Strategic aspects of exploiting external resources,When competing for access to key suppliers,investing in strategic compatibility through shared goals and early involvement,leads to preferred customer status and enhanced innovation support
10.1016@j.indmarman.2012.10.004.md,"The drivers of customer attractiveness, supplier satisfaction and preferred customer status: A literature review","Lisa Hüttinger, Holger Schiele, Jasper Veldman",Theme 1: Decisions on governance mode and mechanism,In the context of high dependency on critical suppliers,choosing long-term commitments and dedicated investments,leads to increased supplier responsiveness and resource allocation priority
10.1016@j.indmarman.2012.10.004.md,"The drivers of customer attractiveness, supplier satisfaction and preferred customer status: A literature review","Lisa Hüttinger, Holger Schiele, Jasper Veldman",Theme 5: Open innovation and interorganizational learning,In collaborative product development settings,involving suppliers early in innovation projects,promotes supplier innovativeness and willingness to share new ideas
geyskens2006.md,"MAKE, BUY, OR ALLY: A TRANSACTION COST THEORY META-ANALYSIS","Inge Geyskens, Jan-Benedict E. M. Steenkamp, Nirmalya Kumar",Theme 1: Decisions on governance mode and mechanism,"In the context of high asset specificity, volume uncertainty, and behavioral uncertainty",choosing hierarchical governance,leads to enhanced performance
geyskens2006.md,"MAKE, BUY, OR ALLY: A TRANSACTION COST THEORY META-ANALYSIS","Inge Geyskens, Jan-Benedict E. M. Steenkamp, Nirmalya Kumar",Theme 1: Decisions on governance mode and mechanism,In the context of high asset specificity,choosing relational governance,leads to enhanced performance
geyskens2006.md,"MAKE, BUY, OR ALLY: A TRANSACTION COST THEORY META-ANALYSIS","Inge Geyskens, Jan-Benedict E. M. Steenkamp, Nirmalya Kumar",Theme 1: Decisions on governance mode and mechanism,In the context of technological uncertainty,using market governance,decreases adaptation costs and reduces delays
10.1111@j.1745-493X.2007.00040.x.md,"E-Reverse Auctions Revisited: An Analysis of Context, Buyer–Supplier Relations and Information Behavior","Andrea Lo¨sch, J. Siaˆn Lambert",Theme 3: Interorganizational relationships,In the context of e-reverse auctions,emphasizing high quality of information exchange and communication,leads to enhanced buyer–supplier relationships
10.1111@j.1745-493X.2007.00040.x.md,"E-Reverse Auctions Revisited: An Analysis of Context, Buyer–Supplier Relations and Information Behavior","Andrea Lo¨sch, J. Siaˆn Lambert",Theme 5: Open innovation and interorganizational learning,In the context of e-reverse auctions,valuing diverse types and sources of information during information seeking,increases commitment and relationship continuity
10.1111@j.1745-493X.2007.00040.x.md,"E-Reverse Auctions Revisited: An Analysis of Context, Buyer–Supplier Relations and Information Behavior","Andrea Lo¨sch, J. Siaˆn Lambert",Theme 6: Operational practices of managing external resources,In the context of e-reverse auctions,using multiple communication media including traditional channels,enhances supplier satisfaction and relationship quality
stump1997.md,Employing Information Technology in Purchasing,"Rodney L. Stump, Ven Sriram",Theme 1: Decisions on governance mode and mechanism,In buyer-supplier relationships,investing in information technology,leads to enhanced performance
stump1997.md,Employing Information Technology in Purchasing,"Rodney L. Stump, Ven Sriram",Theme 6: Operational practices of managing external resources,In the context of purchasing function support,using IT in transaction processing,decreases the size of the supplier base
