Research Theme,Context,Intervention,Outcome,Title
Theme 3: Interorganizational relationships,In both supplier and customer relationships,accumulating relational capital,"supports the growth of a SME by enhancing the transition between different growth phases (Partanen et al., 2008).",Social capital in the growth of science-and-technology-based SMEs
Theme 3: Interorganizational relationships,In both supplier and customer relationships,shaping customer attraction and increasing supplier satisfaction,"increases preferential treatment by suppliers (Hüttinger et al.,2012).","The drivers of customer attractiveness, supplier satisfaction and preferred customer status: A literature review"
Theme 3: Interorganizational relationships,In both supplier and customer relationships,shaping customer attraction and increasing supplier satisfaction,"increases preferential treatment by suppliers ( Baxter, 2012)",How can business buyers attract sellers' resources? Empirical evidence for preferred customer treatment from suppliers
Theme 3: Interorganizational relationships,In both supplier and customer relationships,shaping customer attraction and increasing supplier satisfaction,"makes a supplier voluntarily develop the relationship (Hald et al., 2009).",Towards an understanding of attraction in buyer-supplier relationships
Theme 3: Interorganizational relationships,In both supplier and customer relationships,using socialization as a tactic in influencing,"increases supply chain relational capital (Cousins et al., 2006).",Creating supply chain relational capital: The impact of formal and informal socialization processes
Theme 3: Interorganizational relationships,In both supplier and customer relationships,using socialization as a tactic in influencing,"improves communication between the companies (van de Vijver and Akkermans, 2011).",A TALE OF TWO PARTNERSHIPS: SOCIALIZATION IN THE DEVELOPMENT OF BUYER-SUPPLIER RELATIONSHIPS
Theme 3: Interorganizational relationships,In both supplier and customer relationships,using socialization as a tactic in influencing,"improves communication between the companies ( Cousins and Menguc, 2006)",The implications of socialization and integration in supply chain management
Theme 3: Interorganizational relationships,In both supplier and customer relationships,using socialization as a tactic in influencing,"increases operational performance (Cousins and Menguc,2006).",The implications of socialization and integration in supply chain management
Theme 3: Interorganizational relationships,In both supplier and customer relationships,"adopting procedural,distributive and interactional justice policies","increases alliance performance measured as asset turnover (Liu et al., 2012).",How does justice matter in achieving buyer-Csupplier relationship performance?
Theme 3: Interorganizational relationships,In both supplier and customer relationships,"adopting procedural,distributive and interactional justice policies","increases alliance performance measured as asset turnover (Luo, 2007).","THE INDEPENDENT AND INTERACTIVE ROLES OF PROCEDURAL, DISTRIBUTIVE, AND INTERACTIONAL JUSTICE IN STRATEGIC ALLIANCES"
Theme 3: Interorganizational relationships,In both supplier and customer relationships,"adopting procedural,distributive and interactional justice policies","decreases conflict and increase satisfaction and influence the distributer's performance (Griffith et al., 2006).",Social exchange in supply chain relationships: The resulting benefits of procedural and distributive justice
Theme 3: Interorganizational relationships,In both supplier and customer relationships,increasing (perceived) dependency,"increases relationship effectiveness (Smith, 1997)",Selling Alliances: Issues and Insights
Theme 3: Interorganizational relationships,In both supplier and customer relationships,increasing (perceived) dependency,"supports the development of relational capital (Petersen et al.,2008)",BUYER DEPENDENCY AND RELATIONAL CAPITAL FORMATION: THE MEDIATING EFFECTS OF SOCIALIZATION PROCESSES AND SUPPLIER INTEGRATION
Theme 3: Interorganizational relationships,In both supplier and customer relationships,increasing (perceived) dependency,"increases the commitment of the parties (Goodman and Dion, 2001) ",The Determinants of Commitment in the Distributor- Manufacturer Relationship
Theme 3: Interorganizational relationships,In both supplier and customer relationships,increasing (perceived) dependency,"influences customer attraction (Hald et al., 2009).",Towards an understanding of attraction in buyer-supplier relationships
Theme 4: Strategic aspects of exploiting external resources,In strategic alliances (dyadic context),experiences and learning from alliances,"promote alliance success (Kale et al., 2002)","ALLIANCE CAPABILITY, STOCK MARKET RESPONSE, AND LONG-TERM ALLIANCE SUCCESS: THE ROLE OF THE ALLIANCE FUNCTION"
Theme 4: Strategic aspects of exploiting external resources,In strategic alliances (dyadic context),experiences and learning from alliances,"increase alliance benefits (Chen et al., 2004)","Strategic purchasing, supply management, and firm performance"
Theme 4: Strategic aspects of exploiting external resources,In strategic alliances (dyadic context),experiences and learning from alliances,"increase alliance benefits ( Prahinski and Benton, 2004 )",Supplier evaluations: communication strategies to improve supplier performance
Theme 4: Strategic aspects of exploiting external resources,In strategic alliances (dyadic context),experiences and learning from alliances,"increase alliance benefits ( Sampson, 2005)",EXPERIENCE EFFECTS AND COLLABORATIVE RETURNS IN R&D ALLIANCES
Theme 4: Strategic aspects of exploiting external resources,In strategic alliances (dyadic context),investment in alliance learning tools,"increases alliance capability (Sluyts et al., 2011).",Building capabilities to manage strategic alliances
Theme 4: Strategic aspects of exploiting external resources,In strategic alliances (dyadic context),supplier development activities,"increase supplier performance (Krause, 1997).",Supplier Development: Current Practices and Outcomes
Theme 4: Strategic aspects of exploiting external resources,In strategic alliances (dyadic context),supplier development activities,"increase supplier performance ( Morris and Carter, 2016).",Relationship Marketing and Supplier Logistics Performance: An Extension of the Key Mediating Variables Model
Theme 4: Strategic aspects of exploiting external resources,In strategic alliances (dyadic context),supplier development activities,"increase supplier performance ( Das et al., 2006).",Supplier integration-Finding an optimal configuration
Theme 4: Strategic aspects of exploiting external resources,In strategic alliances (dyadic context),supplier development activities,"increase supplier performance (Lai, 2007).",The effects of influence strategies on dealer satisfaction and performance in Taiwan's motor industry
Theme 4: Strategic aspects of exploiting external resources,In strategic alliances (dyadic context),supplier development activities,"increase supplier performance ( Modi and Mabert,2007).",Supplier development: Improving supplier performance through knowledge transfer
Theme 4: Strategic aspects of exploiting external resources,In strategic alliances (dyadic context),supplier development activities,"lower supplier costs (Rogers et al., 2007).",A supplier development program: Rational process or institutional image construction?
Theme 4: Strategic aspects of exploiting external resources,In strategic alliances (dyadic context),partner complementarities,"improve alliance performance (Rothaermel, 2001;).",INCUMBENT’S ADVANTAGE THROUGH EXPLOITING COMPLEMENTARY ASSETS VIA INTERFIRM COOPERATION
Theme 4: Strategic aspects of exploiting external resources,In strategic alliances (dyadic context),partner complementarities,"improve alliance performance (Tiwana and Keil, 2007).",DOES PERIPHERAL KNOWLEDGE COMPLEMENT CONTROL? AN EMPIRICAL TEST IN TECHNOLOGY OUTSOURCING ALLIANCES
Theme 4: Strategic aspects of exploiting external resources,In supply networks (network context),co-operative relationships between suppliers,"negatively influence supplier performance (Saxton, 1997).",The Effects of Partner and Relationship Characteristics on Alliance Outcomes
Theme 4: Strategic aspects of exploiting external resources,In supply networks (network context),co-operative relationships between suppliers,"negatively influence supplier performance ( Wu et al., 2010).",Supplier-supplier relationships in buyer-supplier-supplier triads: Implications for supplier performance
Theme 4: Strategic aspects of exploiting external resources,In supply networks (network context),integration with suppliers and customers,"increases supply performance (Frohlich and Westbrook, 2001).",Arcs of integration: an international study of supply chain strategies
Theme 4: Strategic aspects of exploiting external resources,In supply networks (network context),integration with suppliers and customers,"improves time-based performance and overall firm performance (Stock et al., 2000).",Enterprise logistics and supply chain structure: the role of fit
Theme 4: Strategic aspects of exploiting external resources,In supply networks (network context),integration with suppliers and customers,"improves time-based performance and overall firm performance (Malhotra and Mackelprang,2012).",Are internal manufacturing and external supply chain flexibilities complementary capabilities?
Theme 4: Strategic aspects of exploiting external resources,In supply networks (network context),integrated information technologies and information sharing,"increase supply performance (Vickery et al., 2003).",The effects of an integrative supply chain strategy on customer service and financial performance: an analysis of direct versus indirect relationships
Theme 4: Strategic aspects of exploiting external resources,In supply networks (network context),integrated information technologies and information sharing,"increase supply performance (Dyer and Hatch, 2006).",RELATION-SPECIFIC CAPABILITIES AND BARRIERS TO KNOWLEDGE TRANSFERS: CREATING ADVANTAGE THROUGH NETWORK RELATIONSHIPS
Theme 5: Open innovation and interorganizational learning,In the context of new product development,involving customers in the NPD project,"increase the likelihood of successful major innovations(Coviello and Joseph, 2012).",Creating Major Innovations with Customers: Insights from Small and Young Technology Firms
Theme 5: Open innovation and interorganizational learning,In the context of new product development,involving customers in the NPD project,"fasten the speed to markets (Fang, 2008)",Customer Participation and the Trade-Off Between New Product Innovativeness and Speed to Market
Theme 5: Open innovation and interorganizational learning,In the context of new product development,involving customers in the NPD project,"improve product quality, delivery, and reliability (Feng et al.,2010).",The effects of customer and supplier involvement on competitive advantage: An empirical study in China
Theme 5: Open innovation and interorganizational learning,In the context of new product development,involving customers in the NPD project,"improves market and project performance (Mishra and Shah,2009).",In union lies strength: Collaborative competence in new product development and its performance effects
Theme 5: Open innovation and interorganizational learning,In the context of new product development,involving customers in the NPD project,"improves customer satisfaction (Tan and Tracey, 2007).",Collaborative New Product Development Environments: Implications for Supply Chain Management
Theme 5: Open innovation and interorganizational learning,In the context of new product development,involving customers in the NPD project,"improves manufacturing agility (Tracey, 2004).",A Holistic Approach to New Product Development: New Insights
Theme 5: Open innovation and interorganizational learning,In the context of new product development,involving suppliers in the NPD project,"decreases costs (Feng et al., 2010).",The effects of customer and supplier involvement on competitive advantage: An empirical study in China
Theme 5: Open innovation and interorganizational learning,In the context of new product development,involving suppliers in the NPD project,"reduces delays (Hartley et al., 1997).",Managing the buyer-supplier interface for on-time performance in product development
Theme 5: Open innovation and interorganizational learning,In the context of new product development,involving suppliers in the NPD project,"increases product innovation (only grey box) (Koufteros et al.,2007).","“Black-box” and “gray-box” supplier integration in product development: Antecedents, consequences and the moderating role of firm size"
Theme 5: Open innovation and interorganizational learning,In the context of new product development,involving suppliers in the NPD project,"improves project and market performance (Mishra and Shah,2009).",In union lies strength: Collaborative competence in new product development and its performance effects
Theme 5: Open innovation and interorganizational learning,In the context of new product development,involving suppliers in the NPD project,"improves financial results and product design performance(Petersen et al., 2005).","Supplier integration into new product development: coordinating product, process and supply chain design"
Theme 5: Open innovation and interorganizational learning,In the context of new product development,involving suppliers in the NPD project,"improves product quality (Primo and Amundson, 2002).",An exploratory study of the effects of supplier relationships on new product development outcomes
Theme 5: Open innovation and interorganizational learning,In the context of new product development,involving suppliers in the NPD project,"improves manufacturing performance (Vonderembse and Tracey, 1999).",The Impact of Supplier Selection Criteria and Supplier Involvement on Manufacturing Performance
Theme 5: Open innovation and interorganizational learning,In the context of new product development,involving suppliers in the NPD project,"improves customer satisfaction (Tan and Tracey, 2007).",Collaborative New Product Development Environments: Implications for Supply Chain Management
Theme 5: Open innovation and interorganizational learning,In the context of new product development,involving suppliers in the NPD project,"improves manufacturing agility (Tracey, 2004).",A Holistic Approach to New Product Development: New Insights
Theme 5: Open innovation and interorganizational learning,In the context of new product development,investing in technologically diverse alliances,"increases firm's innovations (Lundberg and Andresen, 2012).","Cooperation among companies, universities and local government in a Swedish context"
Theme 5: Open innovation and interorganizational learning,In the context of new product development,investing in technologically diverse alliances,"predicts products on markets (Rothaermel and Deeds, 2004).",EXPLORATION AND EXPLOITATION ALLIANCES IN BIOTECHNOLOGY: A SYSTEM OF NEW PRODUCT DEVELOPMENT
Theme 6: Operational practices of managing external resources,In supplier relationships,the use of e-business technologies such as EDI,"increases supplier reliability and lowers acquisition cost(Walton and Marucheck, 1997).",The Relationship Between EDI and Supplier Reliability
Theme 6: Operational practices of managing external resources,In supplier relationships,the use of e-business technologies such as EDI,"improves organizational performance (Feng et al., 2012).",Customer orientation for decreasing time-to-market of new products: IT implementation as a complementary asset
Theme 6: Operational practices of managing external resources,In supplier relationships,the use of e-business technologies such as EDI,"decreases relationship conflict (Yan and Wang, 2012).",Franchisor-franchisee supply chain cooperation: Sharing of demand forecast information in high-tech industries
Theme 6: Operational practices of managing external resources,In supplier relationships,the use of e-business technologies such as EDI,"improves organizational performance (Feng et al., 2012).",Customer orientation for decreasing time-to-market of new products: IT implementation as a complementary asset
Theme 6: Operational practices of managing external resources,In supplier relationships,a right level of internal and external integration,"improves operational performance (Stump and Sriram, 1997).",Employing Information Technology in Purchasing: Buyer-Supplier Relationships and Size of the Supplier Base
Theme 6: Operational practices of managing external resources,In supplier relationships,a right level of internal and external integration,"improves operational performance (Li et al., 2005).",Development and validation of a measurement instrument for studying supply chain management practices
Theme 6: Operational practices of managing external resources,In supplier relationships,a right level of internal and external integration,"improves operational performance ( Li et al., 2010).",Formal control and social control in domestic and international buyer-supplier relationships
Theme 6: Operational practices of managing external resources,In supplier relationships,a right level of internal and external integration,"improves lead-time performance (Stock et al., 2000).",Enterprise logistics and supply chain structure: the role of fit
Theme 6: Operational practices of managing external resources,In supplier relationships,a right level of internal and external integration,"increases supplier reliability and lowers acquisition costs(Malhotra and Mackelprang, 2012).",Are internal manufacturing and external supply chain flexibilities complementary capabilities?
Theme 6: Operational practices of managing external resources,In supplier relationships,a right level of internal and external integration,"positively impacts a firm's supply chain agility (L?sch and Lambert, 2007).","E-Reverse Auctions Revisited: An Analysis of Context, Buyer-Supplier Relations and Information Behavior"
Theme 6: Operational practices of managing external resources,In supplier relationships,good communication and information sharing,"improve lead-time performance (Malhotra and Mackelprang,2012).",Are internal manufacturing and external supply chain flexibilities complementary capabilities?
Theme 6: Operational practices of managing external resources,In supplier relationships,good communication and information sharing,"improve supplier's performance (Sanders, 2007).",An empirical study of the impact of e-business technologies on organizational collaboration and performance
