id,paper_title,pred_context,pred_interv,pred_outcome,gold_count,label,reason,human_label,human_note
11,CUSTOMER ORIENTATION FOR DECREASING TIME-TO-MARKET OF NEW PRODUCTS: IT IMPLEMENT,When IT implementation is high,involving customers in NPD,enhances the reduction of time-to-market,2,VN,"The paper explicitly supports this CIMO: customer involvement reduces time-to-market (H2 supported), and IT implementation moderates this relationship, making the effect stronger when IT implementation is high (H4b supported, Model 4 shows significant interaction, Fig. 2 Panel A illustrates the enhanced effect).",,
12,CUSTOMER PARTICIPATION AND THE TRADE-OFF BETWEEN NEW PRODUCT INNOVATIVENESS AND ,High downstream customer network connectivity.,Using the customer as an information resource.,reduces product innovativeness.,1,VN,"The paper explicitly states that 'CPI has a negative influence on innovativeness when downstream customer network connectivity is high,' which directly supports all three dimensions of the extracted CIMO, and this finding is not in the reference list.",,
13,'BLACK-BOX' AND 'GRAY-BOX' SUPPLIER INTEGRATION IN PRODUCT DEVELOPMENT: ANTECEDE,In the context of supplier integration in product development.,Practicing black-box supplier integration.,does not increase product innovation.,1,VN,"The paper explicitly states that 'Only gray-box integration manifests statistically significant positive effects towards product innovation. The effects of black-box integration are negligible' and 'The direct effects of supplier black-box integration on product innovation were statistically non-significant', supporting all three dimensions of this CIMO which is not in the reference list.",,
14,A HOLISTIC APPROACH TO NEW PRODUCT DEVELOPMENT: NEW INSIGHTS,In the context of new product development processes.,Involving internal non-traditional functions early in NPD.,improves organizational performance.,2,VN,"The extracted CIMO is not in the reference list (which covers involving customers/suppliers, not internal non-traditional functions), and all three dimensions are explicitly supported by the paper: the paper defines IPDI as involving manufacturing, purchasing and logistics functions early in NPD, and empirically demonstrates that IPDI has a significant total effect on organizational performance (t = 3.90, coefficient = 0.12).",,
15,"COOPERATION AMONG COMPANIES, UNIVERSITIES AND LOCAL GOVERNMENT IN A SWEDISH CONT","In a complex, multi-actor cooperative setting with coordination needs.",employing independent cooperation facilitators.,bridges cultural gaps and coordinates joint activities.,1,VN,"The paper explicitly supports all three dimensions: the multi-actor cooperative context (companies, universities, local government), the intervention of employing independent cooperation facilitators (R&D engineers, CEOs, administrators of Processum), and the outcome of bridging cultural gaps and coordinating joint activities, as stated in the discussion section.",,
16,BUILDING CAPABILITIES TO MANAGE STRATEGIC ALLIANCES,In the context of top management incentive alignment,linking top management incentives to alliance performance,increases alliance learning processes,1,FP,"The context 'top management incentive alignment' is circular with the intervention rather than a proper contextual setting, and the intervention describes a factor/condition (TMT incentives) rather than a clear management action.",,
17,CREATING SUPPLY CHAIN RELATIONAL CAPITAL: THE IMPACT OF FORMAL AND INFORMAL SOCI,In buyer-supplier relationships.,Engaging in informal socialization processes.,Increases relational capital.,2,TP,confirmed TP in recall phase (score=3),,
18,DOES ADAPTATION PAY OFF ?,In buyer-supplier relationships with a powerful focal buyer.,engaging in collective adaptation through a shared facility,enhances competitive position and market access,1,TP,confirmed TP in recall phase (score=3),,
19,DEVELOPMENT AND VALIDATION OF A MEASUREMENT INSTRUMENT FOR STUDYING SUPPLY CHAIN,In the context of building strategic supplier partnerships,establishing strategic supplier partnerships,enhances supply chain performance and provides significant benefits,1,FP,"The context 'building strategic supplier partnerships' is essentially the same as the intervention 'establishing strategic supplier partnerships', making the C-I-O structure redundant and incoherent; a proper context should describe a condition or setting distinct from the intervention.",,
20,DOES ADAPTATION PAY OFF ?,In buyer-supplier relationships with a powerful focal buyer.,engaging in collective adaptation through a shared facility,improves product quality,1,TP,confirmed TP in recall phase (score=3),,
21,DO BRIDGING TIES COMPLEMENT STRONG TIES? AN EMPIRICAL EXAMINATION OF ALLIANCE AM,In innovation-seeking project alliances,maintaining bridging ties among alliance partners,does not significantly decrease knowledge integration,3,FP,"The intervention 'maintaining bridging ties' is a network structural characteristic rather than a clear management action, and the outcome 'does not significantly decrease knowledge integration' is a null finding from a non-supported hypothesis, not a meaningful prescriptive outcome.",,
22,A CONTINGENT THEORY OF SUPPLIER MANAGEMENT INITIATIVES: EFFECTS OF COMPETITIVE I,In the maturity stage of the product life cycle.,building mature relational orientation,was hypothesized to more strongly increase supplier capabilities.,1,FP,"The hypothesis that relational orientation would more strongly increase supplier capabilities in the maturity stage was explicitly NOT supported by the paper's findings; Table 8 shows the RO→SC relationship weakened and became non-significant in the maturity stage, contradicting the extracted CIMO.",,
23,A CONTINGENT THEORY OF SUPPLIER MANAGEMENT INITIATIVES: EFFECTS OF COMPETITIVE I,In the maturity stage of the product life cycle.,building relational orientation due to competition,is more strongly driven by competition in mature markets.,1,FP,"The outcome 'is more strongly driven by competition in mature markets' is not a valid outcome of the intervention; it mischaracterizes the paper's finding that the CI→RO relationship is stronger in maturity stage, rather than describing what results from building relational orientation.",,
24,'BLACK-BOX' AND 'GRAY-BOX' SUPPLIER INTEGRATION IN PRODUCT DEVELOPMENT: ANTECEDE,"In the context of a rationalized, smaller supplier base.",Rationalizing the supply base.,increases gray-box supplier integration.,1,FP,"The context 'in the context of a rationalized, smaller supplier base' is circular with the intervention and not supported as a pre-existing condition; the paper frames supply base rationalization as the intervention itself, not as a context, and the actual context would be product development.",,
25,COLLABORATIVE NEW PRODUCT DEVELOPMENT ENVIRONMENTS: IMPLICATIONS FOR SUPPLY CHAI,"In firms with short-term, localized efficiency focus",focusing on long-term NPD effectiveness,improves customer responsiveness,2,FP,"The intervention 'focusing on long-term NPD effectiveness' is a strategic orientation/condition rather than a concrete management action, and the outcome 'customer responsiveness' is not measured in the paper which focuses on customer satisfaction as the dependent variable.",,
26,"COOPERATION AMONG COMPANIES, UNIVERSITIES AND LOCAL GOVERNMENT IN A SWEDISH CONT",When policy aims to stimulate innovation in nascent cross-sector networks.,funding dedicated network facilitators or middlemen.,enables high-potential projects and strengthens inter-sector linkages.,1,VN,"The paper explicitly supports all three dimensions: the context of policy aiming to stimulate innovation in cross-sector networks (companies, universities, government), the intervention of funding dedicated network facilitators/middlemen (R&D engineers financed by Vinnova), and the outcome of enabling high-potential projects and strengthening inter-sector linkages through overcoming cultural barriers and coordinating cooperation initiatives.",,
27,CREATING MAJOR INNOVATIONS WITH CUSTOMERS: INSIGHTS FROM SMALL AND YOUNG TECHNOL,In the context of major innovation development,"employing an iterative, overlapping NPD process",increases the likelihood of MI success,1,VN,"The extracted CIMO is not in the reference list (different intervention: iterative/overlapping process vs. customer involvement), but all three dimensions are explicitly supported by the paper, which states that 'firms with MI success are distinguished by a nonconventional new product development process that includes five iterative and overlapping activities' and Proposition P1 explicitly links this to MI success.",,
28,DEVELOPMENT AND VALIDATION OF A MEASUREMENT INSTRUMENT FOR STUDYING SUPPLY CHAIN,In the context of managing information flow across the supply chain,sharing information with supply chain partners,improves coordination and reduces supply chain distortion,1,VN,"The extracted CIMO is not in the reference list, but all three dimensions are supported by the paper: information sharing is defined as communicating critical information to supply chain partners, the paper explicitly states that sharing information reduces the bullwhip effect (supply chain distortion) and enables partners to work as a single entity (improved coordination), and the intervention is a clear management action expressed as a gerund phrase.",,
29,A CONTINGENT THEORY OF SUPPLIER MANAGEMENT INITIATIVES: EFFECTS OF COMPETITIVE I,In the context of high competitive intensity.,investing in supplier development,is hypothesized to increase with competitive intensity.,1,FP,"The outcome 'is hypothesized to increase with competitive intensity' is not a proper outcome but rather describes a hypothesized relationship; additionally, the paper's results show H1 (CI→SDI positive relationship) was not supported, contradicting the extracted claim.",,
30,ARE INTERNAL MANUFACTURING AND EXTERNAL SUPPLY CHAIN FLEXIBILITIES COMPLEMENTARY,In the context of achieving new product introductions.,Integrating external and internal new product achievability flexibilities.,does not improve delivery performance.,3,VN,"The paper explicitly tests and finds that H2c (complementarity of inbound supplier, new product achievability, and outbound logistics flexibilities) is NOT supported, meaning integrating these flexibilities does not improve delivery performance, with all three dimensions clearly supported by the empirical findings.",,
